0.9394,0.6791
0.479,0.7266
0.4912,0.6678
0.456,0.627
0.4883,0.634
0.4675,0.6018
0.4594,0.5813
0.4737,0.5998
0.4465,0.534
0.482,0.5525
0.4892,0.5314
0.483,0.5272
0.463,0.5183
0.5109,0.5713
0.4986,0.5161
0.4476,0.5776
0.5049,0.5218
0.4877,0.5066
0.4563,0.6524
0.4724,0.6287
0.4943,0.5166
0.4537,0.556
0.4405,0.5638
0.43,0.5105
0.4618,0.5172
0.444,0.5753
0.4894,0.4966
0.4824,0.5324
0.4436,0.5131
0.4373,0.5862
0.4431,0.6152
0.4352,0.7327
0.4283,0.6042
0.4263,0.5654
0.4379,0.5471
0.4304,0.5589
0.4459,0.4979
0.4307,0.6216
0.4424,0.5383
0.427,0.5068
0.4297,0.5975
0.413,0.5175
0.4235,0.5306
0.4056,0.5232
0.4186,0.4877
0.4011,0.5476
0.394,0.9087
0.4288,1.3376
0.4107,0.8955
0.4117,0.6012
0.4282,0.5955
0.414,0.5894
0.4548,0.7119
0.4187,0.5591
0.3943,0.483
0.4028,0.5144
0.3858,0.5889
0.3925,0.8526
0.4075,0.4405
0.3905,0.5305
0.4135,0.5595
0.4117,0.6815
0.3872,0.4518
0.3967,0.4639
0.3708,0.4663
0.3682,0.4558
0.3888,0.4957
0.3974,0.4705
0.4015,0.5056
0.3597,0.5641
0.384,0.498
0.3719,0.5771
0.3608,0.6109
0.4025,0.555
0.3763,0.4603
0.371,0.5308
0.39,0.5585
0.3639,0.7037
0.3856,0.556
0.3646,0.613
0.3758,0.569
0.3602,0.4668
0.3684,0.6605
0.3641,0.4725
0.3628,0.4808
0.3599,0.4686
0.3499,0.4864
0.3755,1.3145
0.3533,0.4905
0.3271,0.5355
0.3461,0.5474
0.3453,0.4529
0.3583,0.5229
0.3456,0.518
0.3759,0.5186
0.3344,0.4611
0.3585,0.6251
0.3656,0.8866
0.3802,0.6455
0.3442,0.6174
0.3672,0.5808
0.3622,0.566
0.3378,0.5151
0.3408,0.7201
0.3264,0.5544
0.3306,0.6479
0.3186,0.5824
0.3257,0.4996
0.3343,0.6265
0.3223,0.7687
0.3269,0.9016
0.3116,0.5988
0.3212,0.7398
0.3727,0.7319
0.3582,0.5004
0.3457,0.5999
0.3482,0.4998
0.3285,0.5619
0.2942,0.6138
0.3307,0.6064
0.3043,0.5339
0.3171,0.5623
0.2992,0.5445
0.3152,0.71
0.2962,0.5972
0.304,0.4726
0.3201,0.5839
0.3235,0.4912
0.3234,0.5188
0.3042,0.7087
0.317,0.603
0.3301,0.6677
0.3156,0.6576
0.2922,0.5634
0.2856,0.5793
0.2944,0.442
0.2753,0.5532
0.2913,0.4178
0.3152,0.5436
0.2777,0.5956
0.273,0.6549
0.2975,0.6532
0.2603,0.5577
0.2741,0.6436
0.2684,0.5518
0.3023,0.8224
0.2888,0.5452
0.2977,0.4926
0.2902,0.5798
0.2786,0.508
0.2845,0.6369
0.2712,0.6377
0.2715,0.6483
0.2814,0.5378
0.2984,0.5675
0.2577,0.6531
0.2544,0.5861
0.2682,0.5836
0.2562,0.7452
0.243,0.4418
0.2478,0.756
0.3187,0.593
0.315,0.7222
0.2981,0.4414
0.2583,0.6129
0.2541,0.6979
0.2946,0.6914
0.2907,0.5218
0.2854,0.5121
0.2639,0.5054
0.2888,0.5394
0.2821,0.7006
0.3166,0.6461
0.3197,0.5543
0.2908,0.534
0.2859,1.0001
0.3277,2.2087
0.3084,0.9689
0.2978,0.5817
0.2957,0.6788
0.3338,0.5885
0.334,0.8583
0.3048,0.7005
0.3324,0.6979
0.3044,0.6084
0.3063,0.6641
0.2881,0.7227
0.3097,0.4398
0.2919,0.8016
0.3119,0.7654
0.3609,0.8268
0.3148,0.6655
0.2967,0.7364
0.2938,0.5061
0.251,1.4894
0.297,0.3877
0.2808,0.8538
0.2719,0.4238
0.2879,0.5056
0.2992,0.5666
0.2738,0.6234
0.2442,0.4238
0.2242,0.506
0.2196,0.6179
0.1958,0.5208
0.208,0.5609
0.1839,0.546
0.1994,0.4562
0.1937,0.705
0.2126,0.3442
0.1999,0.7851
0.2176,0.5363
0.1945,0.5995
0.2159,0.5698
0.194,0.8506
0.1819,0.6166
0.2014,0.5251
0.2357,0.7503
0.252,0.6475
0.2294,0.5693
0.2215,0.5568
0.2049,0.7335
0.1879,0.5418
0.1764,0.5333
0.1982,0.5435
0.1657,0.4816
0.1697,0.5339
0.1653,0.6955
0.1952,0.587
0.1676,0.4952
0.1952,0.5756
0.1795,0.5781
0.1775,0.5052
0.202,0.6417
0.1985,0.5976
0.1684,0.5842
0.1746,0.6976
0.1744,0.5262
